representation,split,split_type,model,mae,brier,spearman_rho,kl
grambank_s42_C,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
grambank_s42_C,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_C,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_C,family_Afro-Asiatic,family,mlp,0.2581669602655943,0.10920022455978785,0.6872411816023248,0.32339951809867107
grambank_s42_C,family_Indo-European,family,zero_order_0.5,0.3873809995952695,0.16815931160270361,,0.4283678969795859
grambank_s42_C,family_Indo-European,family,majority_per_config,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
grambank_s42_C,family_Indo-European,family,family_mean,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
grambank_s42_C,family_Indo-European,family,mlp,0.37623049269241204,0.16081562288433607,0.0881160527578754,0.4136423585776999
grambank_s42_C,family_Uralic,family,zero_order_0.5,0.3498685503244127,0.14509476801241838,,0.3607520632527484
grambank_s42_C,family_Uralic,family,majority_per_config,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
grambank_s42_C,family_Uralic,family,family_mean,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
grambank_s42_C,family_Uralic,family,mlp,0.3250487023952883,0.14878708667435847,0.029877843809573493,0.3740161089459193
grambank_s42_C,family_Dravidian,family,zero_order_0.5,0.4801244830950946,0.23490214403226817,,0.6372856619416627
grambank_s42_C,family_Dravidian,family,majority_per_config,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
grambank_s42_C,family_Dravidian,family,family_mean,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
grambank_s42_C,family_Dravidian,family,mlp,0.4170487692817897,0.18417737831551864,0.3066806031156286,0.5313164306066481
grambank_s42_C,value_No_dom_order,value,zero_order_0.5,,,,
grambank_s42_C,value_No_dom_order,value,majority_per_config,,,,
grambank_s42_C,value_No_dom_order,value,family_mean,,,,
grambank_s42_C,value_No_dom_order,value,mlp,,,,
grambank_s42_C,value_No_dom_order_VOS_OVS,value,zero_order_0.5,,,,
grambank_s42_C,value_No_dom_order_VOS_OVS,value,majority_per_config,,,,
grambank_s42_C,value_No_dom_order_VOS_OVS,value,family_mean,,,,
grambank_s42_C,value_No_dom_order_VOS_OVS,value,mlp,,,,
grambank_s42_B_masked30,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
grambank_s42_B_masked30,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
grambank_s42_B_masked30,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
grambank_s42_B_masked30,A_random,A,mlp,0.3755353226710393,0.15840954345221367,0.4364604321067366,0.41113303170332804
grambank_s42_B_masked30,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
